iter	Passed	Remaining
0	1	803
1	3	736
2	5	713
3	6	695
4	8	684
5	10	697
6	12	710
7	13	716
8	15	707
9	17	700
10	18	695
11	20	690
12	21	684
13	23	687
14	25	689
15	27	692
16	29	690
17	30	687
18	32	682
19	33	679
20	35	675
21	37	671
22	38	668
23	40	664
24	42	666
25	44	667
26	45	669
27	47	669
28	49	669
29	51	669
30	53	669
31	55	669
32	57	669
33	58	667
34	60	665
35	62	662
36	63	659
37	65	656
38	66	653
39	68	651
40	70	648
41	71	645
42	73	643
43	75	643
44	77	644
45	79	644
46	81	643
47	82	643
48	84	642
49	86	641
50	88	641
51	90	640
52	92	641
53	94	641
54	96	641
55	98	640
56	100	639
57	102	638
58	104	637
59	106	636
60	108	636
61	110	636
62	112	636
63	114	634
64	115	632
65	117	630
66	119	628
67	120	626
68	122	623
69	124	622
70	126	620
71	127	618
72	129	616
73	131	614
74	133	611
75	134	609
76	136	607
77	137	604
78	139	602
79	141	601
80	143	599
81	144	596
82	146	594
83	148	592
84	149	590
85	151	588
86	153	586
87	155	585
88	156	583
89	158	581
90	160	579
91	161	577
92	163	575
93	165	572
94	166	570
95	168	568
96	170	566
97	172	565
98	173	564
99	175	562
100	177	560
101	179	558
102	180	556
103	182	554
104	184	552
105	185	550
106	187	548
107	189	547
108	191	546
109	193	544
110	194	542
111	196	541
112	198	539
113	200	537
114	201	535
115	203	533
116	205	532
117	208	532
118	210	531
119	212	530
120	213	528
121	215	527
122	217	525
123	219	524
124	221	523
125	223	521
126	225	520
127	227	519
128	229	517
129	231	515
130	233	514
131	235	512
132	237	511
133	239	511
134	265	559
135	267	557
136	275	568
137	277	566
138	278	563
139	280	561
140	282	559
141	284	557
142	286	554
143	288	553
144	290	551
145	292	549
146	294	547
147	296	545
148	298	542
149	300	540
150	302	538
151	304	536
152	306	534
153	308	532
154	310	530
155	311	527
156	313	525
157	315	523
158	317	521
159	319	519
160	321	517
161	323	515
162	325	513
163	327	511
164	329	508
165	331	506
166	333	504
167	335	502
168	337	501
169	339	499
170	341	496
171	343	494
172	345	492
173	346	490
174	348	488
175	350	486
176	352	484
177	354	482
178	356	480
179	358	478
180	360	476
181	362	473
182	364	471
183	366	469
184	368	467
185	370	465
186	372	463
187	373	461
188	375	459
189	377	457
190	379	454
191	381	452
192	383	450
193	385	448
194	387	446
195	389	444
196	390	442
197	392	440
198	394	438
199	396	436
200	398	434
201	400	432
202	402	430
203	404	428
204	406	426
205	408	424
206	410	422
207	412	420
208	414	418
209	416	416
210	418	414
211	420	412
212	422	410
213	424	408
214	426	406
215	428	404
216	429	401
217	431	400
218	433	398
219	435	396
220	437	393
221	439	391
222	441	389
223	443	387
224	444	385
225	446	383
226	448	381
227	450	379
228	452	377
229	454	375
230	456	373
231	458	371
232	460	369
233	461	367
234	463	365
235	465	363
236	467	361
237	469	359
238	471	357
239	473	355
240	475	352
241	476	350
242	478	348
243	480	346
244	482	344
245	484	342
246	486	340
247	488	338
248	490	336
249	492	334
250	494	332
251	495	330
252	499	329
253	500	327
254	502	325
255	504	323
256	506	320
257	507	318
258	509	316
259	510	314
260	512	312
261	514	310
262	516	308
263	517	305
264	519	303
265	521	301
266	522	299
267	524	297
268	525	295
269	527	293
270	529	291
271	531	289
272	532	286
273	534	284
274	536	282
275	537	280
276	539	278
277	541	276
278	542	274
279	544	272
280	546	270
281	548	268
282	550	266
283	551	264
284	553	262
285	555	260
286	556	257
287	558	255
288	559	253
289	561	251
290	563	249
291	565	247
292	566	245
293	568	243
294	570	241
295	571	239
296	573	237
297	575	235
298	576	233
299	578	231
300	580	229
301	581	227
302	583	225
303	585	223
304	586	221
305	588	219
306	590	217
307	591	215
308	593	213
309	595	211
310	596	209
311	598	207
312	600	205
313	601	203
314	603	201
315	604	199
316	606	197
317	608	195
318	609	193
319	611	191
320	613	189
321	615	187
322	616	185
323	618	183
324	619	181
325	621	179
326	623	177
327	624	175
328	626	173
329	628	171
330	630	169
331	631	167
332	633	165
333	635	163
334	636	161
335	638	159
336	639	157
337	641	155
338	643	153
339	645	151
340	646	149
341	648	147
342	649	145
343	651	143
344	653	142
345	654	140
346	656	138
347	658	136
348	660	134
349	661	132
350	663	130
351	665	128
352	666	126
353	668	124
354	669	122
355	671	120
356	673	118
357	675	116
358	676	115
359	678	113
360	680	111
361	681	109
362	683	107
363	685	105
364	686	103
365	688	101
366	690	99
367	692	97
368	693	95
369	695	93
370	696	92
371	698	90
372	700	88
373	701	86
374	703	84
375	705	82
376	706	80
377	708	78
378	710	76
379	711	74
380	713	73
381	715	71
382	716	69
383	718	67
384	720	65
385	721	63
386	723	61
387	725	59
388	727	57
389	728	56
390	730	54
391	732	52
392	733	50
393	735	48
394	736	46
395	738	44
396	740	42
397	742	41
398	743	39
399	745	37
400	747	35
401	748	33
402	750	31
403	752	29
404	753	27
405	755	26
406	757	24
407	759	22
408	761	20
409	763	18
410	765	16
411	766	14
412	768	13
413	770	11
414	772	9
415	774	7
416	776	5
417	778	3
418	780	1
419	782	0
